41daf40b28bd48958eb870bc65b8d78a,2022-09-03T13:48:59.570998800Z,http://example.com/?url=124,user-035,GN,IE,windows,207,0.6509
1928c255065b49e0b87a70314076fdac,2022-09-03T13:49:25.490998800Z,http://example.com/?url=056,user-080,BW,Firefox,windows,402,0.3237
d3d08e7edb8443e0a2f54e8a0851abc9,2022-09-03T13:49:51.410998800Z,http://example.com/?url=066,user-068,BT,Firefox,windows,207,0.4069
87bda216231c41c4afdeef2e1c5f2602,2022-09-03T13:50:17.330998800Z,http://example.com/?url=167,user-068,EH,Opera,Linux,400,0.2107
3626dc57d6424398a80bbfe8950614f6,2022-09-03T13:50:43.250998800Z,http://example.com/?url=113,user-016,PR,Firefox,windows,401,0.1840
76f124e692c34b4fba9b15ac21cc8e7f,2022-09-03T13:51:09.170998800Z,http://example.com/?url=007,user-051,AD,Opera,Mac,405,0.4322
3ef0df1e8d3c4b328cc812a9431954cf,2022-09-03T13:51:35.090998800Z,http://example.com/?url=068,user-049,LK,Opera,windows,501,0.5288
25b0c11e03cf4e0993e58bded9e5ea15,2022-09-03T13:52:01.010998800Z,http://example.com/?url=172,user-046,NU,Chrome,IOS,429,0.2629
cb4305d4746a4915aa898557992c95c6,2022-09-03T13:52:26.930998800Z,http://example.com/?url=199,user-054,VG,Chrome,Linux,451,0.6005
231323b20d024c69837c6e821971069d,2022-09-03T13:52:52.850998800Z,http://example.com/?url=024,user-085,BL,Opera,IOS,418,0.6533
e52eac9b46154a0ca3e76da022613147,2022-09-03T13:53:18.770998800Z,http://example.com/?url=001,user-081,KG,Safari,Mac,205,0.6318
d5ac98a862c4419caaf1e5323e21d256,2022-09-03T13:53:44.690998800Z,http://example.com/?url=057,user-077,PN,IE,IOS,451,0.8784
97a265857e9246fd9401120b39d5ab70,2022-09-03T13:54:10.610998800Z,http://example.com/?url=121,user-072,VU,IE,windows,301,0.4110
e4d65da2a1b34a57b9c95e0da587dad2,2022-09-03T13:54:36.530998800Z,http://example.com/?url=007,user-068,BZ,Chrome,Linux,208,0.1818
b34bd7b97889408b8c568248d8d003d5,2022-09-03T13:55:02.450998800Z,http://example.com/?url=183,user-089,ID,Firefox,Linux,511,0.7411
b0044f2d32554e9e9d6ba6888c62f17f,2022-09-03T13:55:28.370998800Z,http://example.com/?url=133,user-050,PS,Safari,IOS,205,0.1241
139c5240162849ea872a6c2a4bc6f0e6,2022-09-03T13:55:54.290998800Z,http://example.com/?url=117,user-055,PG,Edge,Mac,500,0.0732
